ID,M,k_max_up,k_max_down,fre,cond,cond_coarse,cond_partmax,cond_partmax_dyn
15,16,0,0,2.397006113229174,4.113201520930284e+17,3.5778072374647136e+16,462294.00607245724,462294.00607245724
15,16,0,1,2.397006113229174,4.113201520930284e+17,3.5778072374647136e+16,462294.00607245724,462294.00607245724
15,16,0,2,2.637841021374995,4.113201520930284e+17,1.994510923916768e+16,462294.00607245724,526912.9749440511
15,16,0,3,2.637841021374995,4.113201520930284e+17,1.994510923916768e+16,462294.00607245724,526912.9749440511
15,16,0,4,4.964468616880595,4.113201520930284e+17,6.502745649540705e+16,462294.00607245724,553488.578659057
15,16,0,5,4.964468616880595,4.113201520930284e+17,6.502745649540705e+16,462294.00607245724,553488.578659057
15,16,1,0,2.397006113229174,4.113201520930284e+17,3.5778072374647136e+16,462294.00607245724,462294.00607245724
15,16,1,1,inf,inf,inf,inf,inf
15,16,1,2,inf,inf,inf,inf,inf
15,16,1,3,inf,inf,inf,inf,inf
15,16,1,4,inf,inf,inf,inf,inf
15,16,1,5,inf,inf,inf,inf,inf
15,16,2,0,0.6738976504262645,4.113201520930284e+17,7.765316432153538e+16,462294.00607245724,576605.1096633698
15,16,2,1,inf,inf,inf,inf,inf
15,16,2,2,inf,inf,inf,inf,inf
15,16,2,3,inf,inf,inf,inf,inf
15,16,2,4,inf,inf,inf,inf,inf
15,16,2,5,inf,inf,inf,inf,inf
15,16,3,0,0.6738976504262645,4.113201520930284e+17,7.765316432153538e+16,462294.00607245724,576605.1096633698
15,16,3,1,inf,inf,inf,inf,inf
15,16,3,2,inf,inf,inf,inf,inf
15,16,3,3,inf,inf,inf,inf,inf
15,16,3,4,inf,inf,inf,inf,inf
15,16,3,5,inf,inf,inf,inf,inf
15,16,4,0,5.223933992230589,4.113201520930284e+17,3.7460944817896237e+17,462294.00607245724,414321.4081849056
15,16,4,1,inf,inf,inf,inf,inf
15,16,4,2,inf,inf,inf,inf,inf
15,16,4,3,inf,inf,inf,inf,inf
15,16,4,4,inf,inf,inf,inf,inf
15,16,4,5,inf,inf,inf,inf,inf
15,16,5,0,5.223933992230589,4.113201520930284e+17,3.7460944817896237e+17,462294.00607245724,414321.4081849056
15,16,5,1,inf,inf,inf,inf,inf
15,16,5,2,inf,inf,inf,inf,inf
15,16,5,3,inf,inf,inf,inf,inf
15,16,5,4,inf,inf,inf,inf,inf
15,16,5,5,inf,inf,inf,inf,inf
15,17,0,0,inf,inf,inf,inf,inf
15,17,0,1,inf,inf,inf,inf,inf
15,17,0,2,inf,inf,inf,inf,inf
15,17,0,3,inf,inf,inf,inf,inf
15,17,0,4,inf,inf,inf,inf,inf
15,17,0,5,inf,inf,inf,inf,inf
15,17,1,0,inf,inf,inf,inf,inf
15,17,1,1,inf,inf,inf,inf,inf
15,17,1,2,inf,inf,inf,inf,inf
15,17,1,3,inf,inf,inf,inf,inf
15,17,1,4,inf,inf,inf,inf,inf
15,17,1,5,inf,inf,inf,inf,inf
15,17,2,0,inf,inf,inf,inf,inf
15,17,2,1,inf,inf,inf,inf,inf
15,17,2,2,inf,inf,inf,inf,inf
15,17,2,3,inf,inf,inf,inf,inf
15,17,2,4,inf,inf,inf,inf,inf
15,17,2,5,inf,inf,inf,inf,inf
15,17,3,0,inf,inf,inf,inf,inf
15,17,3,1,inf,inf,inf,inf,inf
15,17,3,2,inf,inf,inf,inf,inf
15,17,3,3,inf,inf,inf,inf,inf
15,17,3,4,inf,inf,inf,inf,inf
15,17,3,5,inf,inf,inf,inf,inf
15,17,4,0,inf,inf,inf,inf,inf
15,17,4,1,inf,inf,inf,inf,inf
15,17,4,2,inf,inf,inf,inf,inf
15,17,4,3,inf,inf,inf,inf,inf
15,17,4,4,inf,inf,inf,inf,inf
15,17,4,5,inf,inf,inf,inf,inf
15,17,5,0,326919.45024010347,4.113201520930284e+17,6.563927637631727e+33,inf,5.289831752004742e+32
15,17,5,1,inf,inf,inf,inf,inf
15,17,5,2,inf,inf,inf,inf,inf
15,17,5,3,inf,inf,inf,inf,inf
15,17,5,4,inf,inf,inf,inf,inf
15,17,5,5,inf,inf,inf,inf,inf
15,18,0,0,6.284616904349217,4.113201520930284e+17,4.945678534257826e+16,53380.709865787896,53380.709865787896
15,18,0,1,6.284616904349217,4.113201520930284e+17,4.945678534257826e+16,53380.709865787896,53380.709865787896
15,18,0,2,0.5447985131959595,4.113201520930284e+17,7.432745332380841e+17,53380.709865787896,152523.1010733756
15,18,0,3,0.5447985131959595,4.113201520930284e+17,7.432745332380841e+17,53380.709865787896,152523.1010733756
15,18,0,4,0.6284379186754858,4.113201520930284e+17,4.229706061174144e+16,53380.709865787896,173514.104835761
15,18,0,5,0.6284379186754858,4.113201520930284e+17,4.229706061174144e+16,53380.709865787896,173514.104835761
15,18,1,0,6.284616904349217,4.113201520930284e+17,4.945678534257826e+16,53380.709865787896,53380.709865787896
