ID,M,k_max_up,k_max_down,fre,cond,cond_coarse,cond_partmax,cond_partmax_dyn
1,16,0,0,2.2745169933490032e-14,31871.50596785399,2573.125241385041,2983.5456019595094,2983.5456019595094
1,16,0,1,7.788801150650393e-12,31871.50596785399,376318.36877446156,2983.5456019595094,22380.40553590973
1,16,0,2,7.788801130463748e-12,31871.50596785399,360557.4467322107,2983.5456019595094,22380.40553590973
1,16,0,3,8.904423112467512e-12,31871.50596785399,293074.73268246703,2983.5456019595094,22380.40553590973
1,16,0,4,3.7615151300553156e-14,31871.50596785399,3550.4654462735334,2983.5456019595094,17327.6179581757
1,16,0,5,3.765422256057007e-14,31871.50596785399,4115.317252948187,2983.5456019595094,17327.6179581757
1,16,1,0,2.280987995968924e-14,31871.50596785399,2597.331773321352,2983.5456019595094,2983.5456019595094
1,16,1,1,2.268755580179331e-14,31871.50596785399,2920.109717383938,2983.5456019595094,2983.5456019595094
1,16,1,2,2.1454732121648555e-14,31871.50596785399,16312.352917164586,2983.5456019595094,1178.7525462533338
1,16,1,3,2.4089352431931535e-14,31871.50596785399,12600.731454709447,2983.5456019595094,1178.7525462533338
1,16,1,4,3.764387296463994e-14,31871.50596785399,3270.704486005656,2983.5456019595094,17327.6179581757
1,16,1,5,3.761795583075114e-14,31871.50596785399,4556.592496204889,2983.5456019595094,17327.6179581757
1,16,2,0,6.084497815039358e-14,31871.50596785399,768.2227153218694,2983.5456019595094,2767.1127547194897
1,16,2,1,1.6898097710357968e-13,31871.50596785399,531.3329123755271,2983.5456019595094,2494.8926538097357
1,16,2,2,8.242114437094422e-14,31871.50596785399,590.2853838797632,2983.5456019595094,2494.8926538097357
1,16,2,3,7.728935371158063e-15,31871.50596785399,587.917806019215,2983.5456019595094,2494.8926538097357
1,16,2,4,3.8776089594632897e-14,31871.50596785399,13479.58617330569,2983.5456019595094,1214.561321545092
1,16,2,5,3.602230438701558e-14,31871.50596785399,17599.316110812364,2983.5456019595094,1178.7525462533338
1,16,3,0,1.0565223946325985e-13,31871.50596785399,768.2582172942145,2983.5456019595094,2767.1127547194897
