ID,N,M,fre,cond_coarse
1,2048,16,6.239485e-15,1.919529e+03
1,2048,17,9.151013e-15,2.254470e+03
1,2048,18,6.646141e-15,1.606556e+03
1,2048,19,9.355711e-15,4.740773e+02
1,2048,20,9.284736e-15,1.604332e+03
1,2048,21,2.735134e-14,2.085596e+03
1,2048,22,7.474753e-15,1.192593e+03
1,2048,23,8.357451e-15,5.927998e+02
1,2048,24,7.439085e-15,1.568340e+03
1,2048,25,8.374297e-15,1.784322e+03
1,2048,26,3.739824e-14,1.496768e+03
1,2048,27,1.002964e-14,1.605953e+03
1,2048,28,6.555715e-15,4.144304e+02
1,2048,29,1.120032e-14,5.227987e+02
1,2048,30,8.195506e-15,7.607960e+02
1,2048,31,1.299445e-14,1.261832e+03
1,2048,32,5.670771e-15,4.317629e+02
1,2048,33,8.391532e-15,3.724353e+02
1,2048,34,9.860023e-15,8.967450e+02
1,2048,35,9.197858e-15,3.333741e+02
1,2048,36,9.657008e-15,1.486251e+03
1,2048,37,5.577973e-15,1.342376e+03
1,2048,38,9.294315e-15,4.217642e+02
1,2048,39,1.595569e-14,1.295132e+03
1,2048,40,7.742519e-15,1.586438e+03
1,2048,41,6.001753e-15,6.405052e+02
1,2048,42,2.808504e-14,1.567381e+03
1,2048,43,1.093610e-14,1.942274e+03
1,2048,44,9.325924e-15,3.444865e+02
1,2048,45,1.264348e-14,3.626254e+02
1,2048,46,9.097867e-15,5.170633e+02
1,2048,47,1.398802e-14,3.287900e+02
1,2048,48,1.291634e-14,3.050359e+02
1,2048,49,1.063414e-14,6.580668e+02
1,2048,50,6.547646e-15,1.611777e+03
1,2048,51,1.323245e-14,8.967408e+02
1,2048,52,1.162647e-14,1.952598e+02
1,2048,53,5.872415e-15,4.832606e+02
1,2048,54,9.167503e-15,1.605949e+03
1,2048,55,1.328567e-14,7.795475e+02
1,2048,56,8.222455e-15,2.452261e+02
1,2048,57,7.252207e-15,4.683214e+02
1,2048,58,8.048060e-15,4.627158e+02
1,2048,59,1.377552e-14,4.395307e+02
1,2048,60,1.264413e-14,3.665803e+02
1,2048,61,1.268369e-14,3.744514e+02
1,2048,62,1.042391e-14,2.190120e+02
1,2048,63,8.940968e-15,4.167975e+02
1,2048,64,8.943451e-15,1.956134e+02
2,2048,16,1.104896e-16,1.000000e+00
2,2048,17,1.103784e-16,1.000000e+00
2,2048,18,1.113147e-16,1.000000e+00
2,2048,19,1.105227e-16,1.000000e+00
2,2048,20,1.108864e-16,1.000000e+00
2,2048,21,1.116649e-16,1.000000e+00
2,2048,22,1.110294e-16,1.000000e+00
2,2048,23,1.098916e-16,1.000000e+00
2,2048,24,1.106330e-16,1.000000e+00
2,2048,25,1.112811e-16,1.000000e+00
2,2048,26,1.110623e-16,1.000000e+00
2,2048,27,1.106220e-16,1.000000e+00
2,2048,28,1.113147e-16,1.000000e+00
2,2048,29,1.103349e-16,1.000000e+00
2,2048,30,1.109634e-16,1.000000e+00
2,2048,31,1.106220e-16,1.000000e+00
2,2048,32,1.102242e-16,1.000000e+00
2,2048,33,1.103349e-16,1.000000e+00
2,2048,34,1.103452e-16,1.000000e+00
2,2048,35,1.112050e-16,1.000000e+00
2,2048,36,1.110843e-16,1.000000e+00
2,2048,37,1.110513e-16,1.000000e+00
2,2048,38,1.109744e-16,1.000000e+00
2,2048,39,1.113366e-16,1.000000e+00
2,2048,40,1.109744e-16,1.000000e+00
2,2048,41,1.109414e-16,1.000000e+00
2,2048,42,1.110403e-16,1.000000e+00
2,2048,43,1.112270e-16,1.000000e+00
2,2048,44,1.104122e-16,1.000000e+00
2,2048,45,1.107763e-16,1.000000e+00
2,2048,46,1.106441e-16,1.000000e+00
2,2048,47,1.114571e-16,1.000000e+00
2,2048,48,1.107212e-16,1.000000e+00
2,2048,49,1.112599e-16,1.000000e+00
2,2048,50,1.109297e-16,1.000000e+00
2,2048,51,1.109634e-16,1.000000e+00
2,2048,52,1.109414e-16,1.000000e+00
2,2048,53,1.115118e-16,1.000000e+00
2,2048,54,1.111063e-16,1.000000e+00
2,2048,55,1.105448e-16,1.000000e+00
2,2048,56,1.111172e-16,1.000000e+00
2,2048,57,1.107102e-16,1.000000e+00
2,2048,58,1.109964e-16,1.000000e+00
2,2048,59,1.105006e-16,1.000000e+00
2,2048,60,1.109304e-16,1.000000e+00
2,2048,61,1.107653e-16,1.000000e+00
2,2048,62,1.104122e-16,1.000000e+00
2,2048,63,1.110403e-16,1.000000e+00
2,2048,64,1.104785e-16,1.000000e+00
3,2048,16,1.239131e-16,1.073074e+03
3,2048,17,1.278748e-16,1.077315e+03
3,2048,18,1.263887e-16,1.074130e+03
3,2048,19,1.272905e-16,1.073602e+03
3,2048,20,1.266270e-16,1.077315e+03
3,2048,21,1.238633e-16,1.075713e+03
3,2048,22,1.280756e-16,1.068853e+03
3,2048,23,1.259507e-16,1.068853e+03
3,2048,24,1.288269e-16,1.077315e+03
3,2048,25,1.252506e-16,1.069381e+03
3,2048,26,1.274134e-16,1.070964e+03
3,2048,27,1.277969e-16,1.069381e+03
3,2048,28,1.255370e-16,1.064632e+03
3,2048,29,1.278227e-16,1.072019e+03
3,2048,30,1.265165e-16,1.077315e+03
3,2048,31,1.249967e-16,1.064105e+03
3,2048,32,1.258749e-16,1.064632e+03
3,2048,33,1.277340e-16,1.063049e+03
3,2048,34,1.276180e-16,1.077315e+03
3,2048,35,1.272823e-16,1.072019e+03
3,2048,36,1.263538e-16,1.064632e+03
3,2048,37,1.266528e-16,1.074657e+03
3,2048,38,1.270437e-16,1.063577e+03
3,2048,39,1.240380e-16,1.070964e+03
3,2048,40,1.257634e-16,1.077315e+03
3,2048,41,1.274595e-16,1.060939e+03
3,2048,42,1.245050e-16,1.064632e+03
3,2048,43,1.257028e-16,1.067271e+03
3,2048,44,1.280635e-16,1.068853e+03
3,2048,45,1.273600e-16,1.069381e+03
3,2048,46,1.259525e-16,1.068853e+03
3,2048,47,1.262500e-16,1.067271e+03
3,2048,48,1.258968e-16,1.064632e+03
3,2048,49,1.259833e-16,1.060939e+03
3,2048,50,1.269199e-16,1.056190e+03
3,2048,51,1.259912e-16,1.077315e+03
3,2048,52,1.268959e-16,1.070964e+03
3,2048,53,1.274021e-16,1.063577e+03
3,2048,54,1.254488e-16,1.055135e+03
3,2048,55,1.257992e-16,1.074657e+03
3,2048,56,1.262524e-16,1.064632e+03
3,2048,57,1.254193e-16,1.053552e+03
3,2048,58,1.251580e-16,1.072019e+03
3,2048,59,1.254974e-16,1.059356e+03
3,2048,60,1.257173e-16,1.077315e+03
3,2048,61,1.244541e-16,1.063049e+03
3,2048,62,1.252165e-16,1.047748e+03
3,2048,63,1.259936e-16,1.064632e+03
3,2048,64,1.262935e-16,1.047748e+03
4,2048,16,1.210569e-13,1.765542e+04
4,2048,17,2.260199e-13,9.660787e+03
4,2048,18,9.501046e-14,8.334544e+03
4,2048,19,6.797595e-14,1.033557e+03
4,2048,20,5.086639e-14,1.512832e+04
4,2048,21,1.440599e-13,7.847743e+03
4,2048,22,4.918711e-14,3.938861e+03
4,2048,23,3.330097e-14,2.263565e+03
4,2048,24,1.574649e-13,1.715693e+03
4,2048,25,3.105421e-13,3.047368e+03
4,2048,26,2.311007e-13,1.812760e+03
4,2048,27,1.732663e-13,3.884417e+04
4,2048,28,7.508624e-14,8.297017e+03
4,2048,29,1.367563e-14,1.748792e+03
4,2048,30,1.783591e-13,4.742297e+03
4,2048,31,7.102606e-14,3.322373e+03
4,2048,32,1.932949e-13,3.743272e+02
4,2048,33,1.368591e-14,1.180895e+03
4,2048,34,2.241994e-13,9.683809e+02
4,2048,35,2.328780e-13,1.375118e+03
4,2048,36,4.432767e-14,1.922620e+03
4,2048,37,3.106459e-13,7.164280e+02
4,2048,38,3.559547e-14,1.033556e+03
4,2048,39,4.581136e-14,1.077742e+03
4,2048,40,1.204816e-13,1.493820e+04
4,2048,41,7.506538e-14,3.326740e+04
4,2048,42,6.663522e-14,7.830620e+03
4,2048,43,3.018793e-14,6.550242e+03
4,2048,44,1.677121e-14,3.913698e+03
4,2048,45,1.102973e-13,4.330527e+03
4,2048,46,2.343496e-14,2.213809e+03
4,2048,47,7.022772e-14,4.065357e+03
4,2048,48,5.837022e-14,2.409354e+02
4,2048,49,2.250557e-14,3.509026e+02
4,2048,50,4.842485e-14,3.194750e+02
4,2048,51,1.003407e-13,3.036035e+02
4,2048,52,1.776943e-13,1.302002e+03
4,2048,53,4.439194e-14,1.989897e+02
4,2048,54,4.268029e-14,1.922620e+03
4,2048,55,9.787643e-14,2.831616e+02
4,2048,56,1.771299e-13,1.501702e+03
4,2048,57,4.265175e-14,1.024111e+03
4,2048,58,4.188351e-14,1.598191e+03
4,2048,59,1.017188e-13,2.567636e+02
4,2048,60,1.777677e-13,2.419299e+02
4,2048,61,2.245016e-13,1.195206e+03
4,2048,62,1.784413e-13,8.117983e+02
4,2048,63,4.185845e-14,1.587850e+03
4,2048,64,2.252803e-13,1.965129e+02
5,2048,16,1.090902e-14,6.260991e+03
5,2048,17,1.095572e-14,1.988376e+03
5,2048,18,1.093782e-14,1.793805e+04
5,2048,19,1.070808e-14,6.022221e+03
5,2048,20,1.104453e-14,2.672306e+03
5,2048,21,1.113062e-14,1.416150e+04
5,2048,22,1.115309e-14,5.070141e+02
5,2048,23,1.088907e-14,1.882999e+04
5,2048,24,1.095733e-14,2.546892e+03
5,2048,25,1.091778e-14,5.373825e+02
5,2048,26,1.168692e-14,6.161223e+03
5,2048,27,1.093372e-14,1.634689e+04
5,2048,28,1.094196e-14,1.304661e+04
5,2048,29,5.448747e-14,5.705801e+02
5,2048,30,1.094905e-14,3.548131e+02
5,2048,31,1.105353e-14,6.834716e+03
5,2048,32,1.093196e-14,2.169004e+02
5,2048,33,1.114119e-14,2.636568e+03
5,2048,34,1.095799e-14,1.538950e+02
5,2048,35,1.175310e-14,4.990427e+02
5,2048,36,1.095592e-14,5.439728e+02
5,2048,37,1.057360e-14,7.655735e+03
5,2048,38,1.095609e-14,5.668273e+03
5,2048,39,1.164012e-14,4.442184e+02
5,2048,40,1.104408e-14,2.603214e+03
5,2048,41,1.090080e-14,2.654742e+03
5,2048,42,1.113869e-14,1.416150e+04
5,2048,43,5.431106e-14,1.163601e+03
5,2048,44,1.095628e-14,4.682542e+02
5,2048,45,1.094211e-14,1.279114e+03
5,2048,46,1.090601e-14,1.882999e+04
5,2048,47,1.094788e-14,2.234030e+03
5,2048,48,1.095742e-14,2.546892e+03
5,2048,49,1.093999e-14,7.314711e+02
5,2048,50,1.092779e-14,5.373825e+02
5,2048,51,1.094283e-14,1.988376e+03
5,2048,52,1.166903e-14,3.003507e+03
5,2048,53,1.096320e-14,5.010288e+03
5,2048,54,1.093332e-14,1.634689e+04
5,2048,55,1.093172e-14,1.688779e+03
5,2048,56,1.095534e-14,2.354620e+02
5,2048,57,1.094236e-14,6.543695e+01
5,2048,58,1.176324e-14,4.018663e+02
5,2048,59,1.095260e-14,8.699531e+02
5,2048,60,1.094297e-14,7.687833e+01
5,2048,61,1.094268e-14,5.990260e+03
