ID,N,fre,cond_coarse,label,rating
11,512,0.003049579,224959500000000,rows_cond_min_cond,1.7609475321099701
12,512,1.257336e-4,3145028000,rows_cond_min_cond,1.2589789675526564
13,512,1.651281,1210009e10,rows_cond_min_cond,4.959081773986039
14,512,4.973855e-8,2867011000,rows_cond_min_cond,3.2699775881009843
15,512,27443330,4461434e15,rows_cond_min_cond,178402464567.61505
16,512,2.932963e-15,15.80042,rows_cond_min_cond,1.1041298289348909
17,512,1.160333e-16,1,rows_cond_min_cond,0.9931687885277416
18,512,1.079032e-16,1.732051,rows_cond_min_cond,1.1297498604868355
19,512,1.164855e-16,1.027486,rows_cond_min_cond,1.0850566768168577
20,512,1.030842e-16,1.458219,rows_cond_min_cond,0.9203157586492586
1,512,5.629806e-15,128.1533,rows_det_min_fre,0.688889903156852
2,512,1.10127e-16,1,rows_det_min_fre,0.9781528368803776
3,512,1.175832e-16,267.9893,rows_det_min_fre,0.9583740523904497
4,512,2.595886e-15,107.6423,rows_det_min_fre,0.24723783400240962
5,512,1.403345e-15,53.54911,rows_det_min_fre,0.8287726608873541
6,512,9.590039000000001e-17,1.028397,rows_det_min_fre,0.965805585838266
7,512,2.415509e-16,3.000023,rows_det_min_fre,0.8717479645455595
8,512,4.19059e-5,71885150000000,rows_det_min_fre,1
9,512,4.311026e-6,220639400000000,rows_det_min_fre,0.017573437243314616
10,512,5.244001e-4,1.004188,rows_det_min_fre,1
11,512,3.020817e-5,273429700000000,rows_det_min_fre,0.017443392157100515
12,512,6.192005e-5,4552209000000,rows_det_min_fre,0.6200096125443704
13,512,2.499734e-4,3522353e10,rows_det_min_fre,7.507132534809773e-4
14,512,1.189851e-5,4693033000000,rows_det_min_fre,782.2475933012813
15,512,840.7514,Inf,rows_det_min_fre,5465521.926408812
16,512,1.291586e-15,32.41121,rows_det_min_fre,0.4862245549073411
17,512,1.13519e-16,1,rows_det_min_fre,0.9716480329774357
18,512,9.099245e-17,1.732051,rows_det_min_fre,0.9526937819532262
19,512,1.052841e-16,1.027486,rows_det_min_fre,0.9807161892909739
20,512,1.010928e-16,1.70473,rows_det_min_fre,0.9025369254063937
1,512,7.968068e-15,14.52433,rows_det_min_cond,0.9750107895133885
2,512,1.10127e-16,1,rows_det_min_cond,0.9781528368803776
3,512,1.250203e-16,237.3066,rows_det_min_cond,1.0189909063715714
4,512,5.044274e-15,57.53563,rows_det_min_cond,0.48042763737493516
5,512,1.461822e-15,6.609579,rows_det_min_cond,0.8633073896181437
6,512,1.000686e-16,1.020396,rows_det_min_cond,1.0077833139887657
7,512,2.6076080000000002e-16,3,rows_det_min_cond,0.9410757593255573
8,512,4.19059e-5,54503210000000,rows_det_min_cond,1
9,512,6.816996e-5,48285060000000,rows_det_min_cond,0.2778875641063792
10,512,5.244001e-4,1.002167,rows_det_min_cond,1
11,512,0.002673655,194678800000000,rows_det_min_cond,1.5438741458947225
12,512,1.257336e-4,3145028000,rows_det_min_cond,1.2589789675526564
13,512,0.3050465,9318327e9,rows_det_min_cond,0.9161072757260771
14,512,1.189851e-5,4693033000000,rows_det_min_cond,782.2475933012813
15,512,14877120,2125376e12,rows_det_min_cond,96712566356.4938
16,512,2.932963e-15,15.80042,rows_det_min_cond,1.1041298289348909
17,512,1.160333e-16,1,rows_det_min_cond,0.9931687885277416
18,512,1.079032e-16,1.732051,rows_det_min_cond,1.1297498604868355
19,512,1.164855e-16,1.027486,rows_det_min_cond,1.0850566768168577
20,512,1.030842e-16,1.458219,rows_det_min_cond,0.9203157586492586
1,512,6.143983e-15,80.93084,random_min_fre,0.7518070522976005
2,512,1.09414e-16,1,random_min_fre,0.9718199396553944
3,512,1.171222e-16,254.1908,random_min_fre,0.9546166241341002
4,512,2.213898e-15,71.73837,random_min_fre,0.2108564652770833
5,512,1.366655e-15,90.04472,random_min_fre,0.8071046683923105
6,512,9.511941000000001e-17,1.023633,random_min_fre,0.9579403952334316
7,512,2.608159e-16,3,random_min_fre,0.9412746131192979
8,512,4.19059e-5,62796400000000,random_min_fre,1
9,512,5.958503e-8,49324690000000,random_min_fre,2.428920134896005e-4
10,512,5.244001e-4,1.007274,random_min_fre,1
11,512,4.025502e-7,165168600000000,random_min_fre,2.3244840721961123e-4
12,512,3.111275e-5,2436655000,random_min_fre,0.31153405193777883
13,512,8.368415e-5,1333258e11,random_min_fre,2.5131794227421854e-4
14,512,3.728477e-9,1122541000,random_min_fre,0.24512246995037038
15,512,6.1481670000000004e-06,8990419000000,random_min_fre,0.03996774973639424
16,512,9.274135e-16,8.055172,random_min_fre,0.3491298421108307
17,512,1.122625e-16,1,random_min_fre,0.9608932187750894
18,512,8.561342000000001e-17,1.732051,random_min_fre,0.8963751705306318
19,512,9.806823000000001e-17,1.027486,random_min_fre,0.9135007167854479
20,512,9.980551000000001e-17,1.658221,random_min_fre,0.8910442497785905
1,512,7.301169e-15,7.205423,random_min_cond,0.8934058483261785
2,512,1.130636e-16,1,random_min_cond,1.0042358466852657
3,512,1.235642e-16,211.5424,random_min_cond,1.0071228124798781
4,512,2.615346e-14,34.51852,random_min_cond,2.490912467677186
5,512,1.657123e-15,3.482277,random_min_cond,0.9786461904432874
6,512,9.940652000000001e-17,1.004775,random_min_cond,1.00111555630528
7,512,2.832162e-16,3,random_min_cond,1.0221164395426723
8,512,4.19059e-5,50919170000000,random_min_cond,1
9,512,3.157257e-4,938721500000,random_min_cond,1.2870221091340153
10,512,5.244001e-4,1.002167,random_min_cond,1
11,512,1.056906e-4,54641260000000,random_min_cond,0.061029932734066566
12,512,1.631113e-4,3029712,random_min_cond,1.6332443839210171
13,512,0.3365374,6845885e9,random_min_cond,1.0106798822275853
14,512,4.905372e-8,195931300,random_min_cond,3.2249545877992225
15,512,3.283816e-5,833074900000,random_min_cond,0.21347295229353264
16,512,9.274135e-16,8.055172,random_min_cond,0.3491298421108307
17,512,1.168733e-16,1,random_min_cond,1.000358636462458
18,512,9.260837000000001e-17,1.732051,random_min_cond,0.969612514618781
19,512,1.109091e-16,1.027486,random_min_cond,1.0331127863532248
20,512,1.077757e-16,1.13428,random_min_cond,0.9622005613804532
