ID,lim_lo,lim_hi,fre,cond_coarse
1,10,20,1.313757e-14,2.450668e+03
1,10,21,2.577022e-14,2.450668e+03
1,10,22,2.598977e-14,2.450668e+03
1,10,23,2.592958e-14,2.450668e+03
1,10,24,8.748051e-14,1.114008e+04
1,10,25,2.022883e-14,1.147231e+03
1,10,26,2.026639e-14,1.166297e+03
1,10,27,2.028567e-14,1.287847e+03
1,10,28,2.042926e-14,1.287847e+03
1,10,29,2.042926e-14,1.287847e+03
1,10,30,7.886458e-14,2.225659e+03
1,10,31,7.883223e-14,2.225659e+03
1,10,32,1.838082e-14,2.329054e+03
1,10,33,1.855181e-14,2.329054e+03
1,10,34,1.855181e-14,2.329054e+03
1,10,35,1.855181e-14,2.329054e+03
1,10,36,3.916302e-14,2.329054e+03
1,10,37,3.916302e-14,2.329054e+03
1,10,38,3.916302e-14,2.329054e+03
1,10,39,3.917019e-14,2.329054e+03
1,10,40,1.840557e-14,2.329054e+03
1,10,41,1.837517e-14,2.329054e+03
1,10,42,1.835638e-14,2.329054e+03
1,10,43,1.835638e-14,2.329054e+03
1,10,44,1.840847e-14,2.329054e+03
1,10,45,4.826422e-14,4.140134e+01
1,10,46,2.091206e-14,1.921952e+04
1,10,47,2.091206e-14,1.921952e+04
1,10,48,2.091206e-14,1.921952e+04
1,10,49,2.095332e-14,1.921952e+04
1,10,50,2.095332e-14,1.921952e+04
1,10,51,2.095332e-14,1.921952e+04
1,10,52,2.095332e-14,1.921952e+04
1,10,53,2.095332e-14,1.921952e+04
1,10,54,7.305256e-15,1.921952e+04
1,10,55,7.305256e-15,1.921952e+04
1,10,56,7.305256e-15,1.921952e+04
1,10,57,7.305256e-15,1.921952e+04
1,10,58,7.305256e-15,1.921952e+04
1,10,59,7.305256e-15,1.921952e+04
1,10,60,1.916830e-14,1.080239e+03
1,10,61,1.916830e-14,1.080239e+03
1,10,62,1.916830e-14,1.080239e+03
1,10,63,1.920835e-14,1.080139e+03
1,10,64,8.293496e-14,8.696364e+02
1,10,65,8.696591e-14,3.710987e+02
1,10,66,8.696591e-14,3.710987e+02
1,10,67,9.392175e-14,2.268159e+02
1,10,68,8.298926e-14,3.964619e+02
1,10,69,8.298926e-14,3.964619e+02
1,10,70,8.298926e-14,3.964619e+02
1,10,71,8.298926e-14,3.964619e+02
1,11,20,1.323226e-14,2.450668e+03
1,11,21,2.581862e-14,2.450668e+03
1,11,22,2.598977e-14,2.450668e+03
1,11,23,2.592958e-14,2.450668e+03
1,11,24,8.747912e-14,1.163294e+04
1,11,25,2.022270e-14,1.147231e+03
1,11,26,2.026639e-14,1.166297e+03
1,11,27,2.027773e-14,1.287847e+03
1,11,28,2.052831e-14,1.287847e+03
1,11,29,2.052831e-14,1.287847e+03
1,11,30,7.884041e-14,2.225659e+03
1,11,31,7.884041e-14,2.225659e+03
1,11,32,1.838082e-14,2.329054e+03
1,11,33,1.855181e-14,2.329054e+03
1,11,34,1.855181e-14,2.329054e+03
1,11,35,1.855181e-14,2.329054e+03
1,11,36,3.916302e-14,2.329054e+03
1,11,37,3.916302e-14,2.329054e+03
1,11,38,3.916302e-14,2.329054e+03
1,11,39,3.917019e-14,2.329054e+03
1,11,40,1.840557e-14,2.329054e+03
1,11,41,1.837517e-14,2.329054e+03
1,11,42,1.835638e-14,2.329054e+03
1,11,43,1.835638e-14,2.329054e+03
1,11,44,1.840847e-14,2.329054e+03
1,11,45,4.826422e-14,4.140134e+01
1,11,46,2.091206e-14,1.921952e+04
1,11,47,2.091206e-14,1.921952e+04
1,11,48,2.091206e-14,1.921952e+04
1,11,49,2.095332e-14,1.921952e+04
1,11,50,2.095332e-14,1.921952e+04
1,11,51,2.095332e-14,1.921952e+04
1,11,52,2.095332e-14,1.921952e+04
1,11,53,2.095332e-14,1.921952e+04
1,11,54,7.305256e-15,1.921952e+04
1,11,55,7.305256e-15,1.921952e+04
1,11,56,7.305256e-15,1.921952e+04
1,11,57,7.305256e-15,1.921952e+04
1,11,58,7.305256e-15,1.921952e+04
1,11,59,7.305256e-15,1.921952e+04
1,11,60,1.916830e-14,1.080239e+03
1,11,61,1.916830e-14,1.080239e+03
1,11,62,1.916830e-14,1.080239e+03
1,11,63,1.920835e-14,1.080139e+03
1,11,64,8.293496e-14,8.696364e+02
1,11,65,8.696591e-14,3.710987e+02
1,11,66,8.696591e-14,3.710987e+02
1,11,67,9.392175e-14,2.268159e+02
1,11,68,8.298926e-14,3.964619e+02
1,11,69,8.298926e-14,3.964619e+02
1,11,70,8.298926e-14,3.964619e+02
1,11,71,8.298926e-14,3.964619e+02
1,12,20,6.139209e-15,2.344486e+03
1,12,21,2.558743e-14,3.257539e+03
1,12,22,6.093080e-15,2.516489e+03
1,12,23,2.570995e-14,2.828754e+03
1,12,24,9.491224e-14,1.697522e+04
1,12,25,1.831936e-14,2.329054e+03
