ID,M,k_max_up,k_max_down,fre,cond,cond_coarse,cond_partmax,cond_partmax_dyn
1,512,16,0,0,7.844396113087105e-15,2981.4156944362476,660.8309448884196,38813.246024555396,38813.246024555396
1,512,16,0,1,1.996258526346487e-14,2981.4156944362476,660.4601513238206,38813.246024555396,811.1964813941145
1,512,16,0,2,8.614130902916775e-15,2981.4156944362476,657.2035663175732,38813.246024555396,811.1964813941145
1,512,16,0,3,8.982383019164393e-15,2981.4156944362476,657.160393669343,38813.246024555396,421.6749632123225
1,512,16,0,4,8.056437730058101e-15,2981.4156944362476,656.9332203136848,38813.246024555396,569.9148519731465
1,512,16,0,5,9.931889142093118e-15,2981.4156944362476,2742.063560328046,38813.246024555396,1188.8093178394151
1,512,16,1,0,2.885077740385346e-14,2981.4156944362476,660.8228244946755,38813.246024555396,463.8715839743857
1,512,16,1,1,7.33279192382398e-15,2981.4156944362476,660.468114641955,38813.246024555396,38740.23241614051
1,512,16,1,2,2.0171402359444718e-14,2981.4156944362476,657.2031050985204,38813.246024555396,421.6749632123225
1,512,16,1,3,1.329995554024401e-14,2981.4156944362476,657.1606935830306,38813.246024555396,421.6749632123225
1,512,16,1,4,1.0595339151585814e-14,2981.4156944362476,656.9332154034201,38813.246024555396,421.6749632123225
1,512,16,1,5,7.848625507576412e-15,2981.4156944362476,656.9330473456087,38813.246024555396,421.6749632123225
1,512,16,2,0,8.374543948547479e-15,2981.4156944362476,142.88772392113404,38813.246024555396,463.8715839743857
1,512,16,2,1,3.072360981426589e-14,2981.4156944362476,451.7886456564078,38813.246024555396,463.8707258192899
1,512,16,2,2,7.378827542049152e-14,2981.4156944362476,660.4575876194384,38813.246024555396,463.8707258192899
1,512,16,2,3,2.0120721971175133e-14,2981.4156944362476,656.8356033622388,38813.246024555396,463.8648502598981
1,512,16,2,4,1.2930362963492247e-14,2981.4156944362476,656.9326989872119,38813.246024555396,463.8648502598981
1,512,16,2,5,1.0232479741376128e-14,2981.4156944362476,741.687123645501,38813.246024555396,463.37462475080923
1,512,16,3,0,1.0895274197830808e-14,2981.4156944362476,227.7369749573022,38813.246024555396,463.87160316234446
1,512,16,3,1,1.233010587346964e-13,2981.4156944362476,983.798194020778,38813.246024555396,463.8712449035958
1,512,16,3,2,2.8277706494018958e-14,2981.4156944362476,419.4816767304455,38813.246024555396,463.8712449035958
1,512,16,3,3,1.997684646498019e-14,2981.4156944362476,660.4306679427125,38813.246024555396,463.8707258192899
1,512,16,3,4,2.000485149855499e-14,2981.4156944362476,656.9420075483124,38813.246024555396,463.8707258192899
1,512,16,3,5,7.539561607336508e-15,2981.4156944362476,741.6428654510912,38813.246024555396,463.8648502598981
1,512,16,4,0,1.438532466417075e-13,2981.4156944362476,761.3378553609965,38813.246024555396,976.7557743930189
1,512,16,4,1,4.447640570525241e-15,2981.4156944362476,148.40426251072324,38813.246024555396,35940.46179631002
1,512,16,4,2,7.32102499186633e-15,2981.4156944362476,774.0123001654063,38813.246024555396,972.6076139578546
1,512,16,4,3,5.159466934330065e-15,2981.4156944362476,711.0079231936966,38813.246024555396,463.8707258192899
1,512,16,4,4,7.57114456548583e-15,2981.4156944362476,660.4381768846616,38813.246024555396,463.8707258192899
1,512,16,4,5,2.0041873185114144e-14,2981.4156944362476,656.9420075483126,38813.246024555396,463.8648502598981
1,512,16,5,0,4.1310080333000126e-14,2981.4156944362476,781.8470755243007,38813.246024555396,976.7557743930189
1,512,16,5,1,7.590692872332667e-15,2981.4156944362476,657.1483014178099,38813.246024555396,30380.922393859186
1,512,16,5,2,9.090402015765523e-15,2981.4156944362476,846.108825989084,38813.246024555396,972.6076139578546
1,512,16,5,3,8.69094559874061e-15,2981.4156944362476,773.5782885195104,38813.246024555396,463.8712449035958
1,512,16,5,4,7.433370629359485e-15,2981.4156944362476,660.4306679427132,38813.246024555396,463.8712449035958
1,512,16,5,5,1.996922110692074e-14,2981.4156944362476,660.468745606396,38813.246024555396,463.8707258192899
1,512,17,0,0,6.56351059828647e-15,2981.4156944362476,934.3301619121246,1587.321692443434,1587.321692443434
1,512,17,0,1,2.16240752156889e-14,2981.4156944362476,1056.55039275236,1587.321692443434,287.1248103810299
1,512,17,0,2,8.678552334026344e-15,2981.4156944362476,1058.225800327719,1587.321692443434,637.870647062937
1,512,17,0,3,9.274143425686617e-15,2981.4156944362476,1488.9275723395183,1587.321692443434,1587.321692443434
1,512,17,0,4,7.15429250977315e-15,2981.4156944362476,1189.4606489783773,1587.321692443434,1587.321692443434
1,512,17,0,5,8.402444014565461e-15,2981.4156944362476,969.5488511180797,1587.321692443434,1587.321692443434
1,512,17,1,0,1.978731955674054e-14,2981.4156944362476,588.3289302908044,1587.321692443434,1587.321692443434
1,512,17,1,1,1.3088134717919894e-14,2981.4156944362476,585.7412248992491,1587.321692443434,563.0588714779466
1,512,17,1,2,inf,2981.4156944362476,inf,inf,inf
1,512,17,1,3,inf,2981.4156944362476,inf,inf,inf
1,512,17,1,4,inf,2981.4156944362476,inf,inf,inf
1,512,17,1,5,inf,2981.4156944362476,inf,inf,inf
1,512,17,2,0,6.93453996501119e-15,2981.4156944362476,620.9942524628611,1587.321692443434,1587.321692443434
1,512,17,2,1,8.299689804060578e-15,2981.4156944362476,584.6206392273225,1587.321692443434,514.4687223733966
1,512,17,2,2,inf,2981.4156944362476,inf,inf,inf
1,512,17,2,3,inf,2981.4156944362476,inf,inf,inf
1,512,17,2,4,inf,2981.4156944362476,inf,inf,inf
1,512,17,2,5,inf,2981.4156944362476,inf,inf,inf
1,512,17,3,0,8.172271995938405e-15,2981.4156944362476,311.544440068583,1587.321692443434,514.2271075484641
1,512,17,3,1,5.397534826345677e-15,2981.4156944362476,235.71959411567485,1587.321692443434,515.0619914268036
1,512,17,3,2,inf,2981.4156944362476,inf,inf,inf
1,512,17,3,3,inf,2981.4156944362476,inf,inf,inf
1,512,17,3,4,inf,2981.4156944362476,inf,inf,inf
1,512,17,3,5,inf,2981.4156944362476,inf,inf,inf
1,512,17,4,0,4.324105746349819e-15,2981.4156944362476,217.12573630937862,1587.321692443434,469.6103601189582
1,512,17,4,1,8.115569105857318e-15,2981.4156944362476,309.04862547379,1587.321692443434,514.2271075484641
1,512,17,4,2,inf,2981.4156944362476,inf,inf,inf
1,512,17,4,3,inf,2981.4156944362476,inf,inf,inf
1,512,17,4,4,inf,2981.4156944362476,inf,inf,inf
1,512,17,4,5,inf,2981.4156944362476,inf,inf,inf
1,512,17,5,0,6.542394199592771e-15,2981.4156944362476,408.51745360632884,1587.321692443434,723.8850799699171
1,512,17,5,1,3.809653780614982e-15,2981.4156944362476,331.1725223256819,1587.321692443434,468.31451191249516
1,512,17,5,2,inf,2981.4156944362476,inf,inf,inf
1,512,17,5,3,inf,2981.4156944362476,inf,inf,inf
1,512,17,5,4,inf,2981.4156944362476,inf,inf,inf
1,512,17,5,5,inf,2981.4156944362476,inf,inf,inf
1,512,18,0,0,9.353429621385478e-15,2981.4156944362476,990.1723946353592,2738.378945447328,2738.378945447328
1,512,18,0,1,1.0463820454429977e-14,2981.4156944362476,1082.8425106279499,2738.378945447328,2644.8673741343605
1,512,18,0,2,7.352311608644401e-15,2981.4156944362476,1322.667898083181,2738.378945447328,1177.3969186432184
1,512,18,0,3,9.64027694862973e-15,2981.4156944362476,1073.4117799884357,2738.378945447328,2288.8194874724772
1,512,18,0,4,9.888116124296827e-15,2981.4156944362476,413.3830804933437,2738.378945447328,2598.6046786594156
1,512,18,0,5,6.73266716202096e-15,2981.4156944362476,308.1798797392082,2738.378945447328,2578.100989623463
1,512,18,1,0,9.491414053208907e-15,2981.4156944362476,930.8354284030338,2738.378945447328,669.841149245858
1,512,18,1,1,7.276034481426525e-15,2981.4156944362476,968.7194208330695,2738.378945447328,2644.8673741343605
1,512,18,1,2,1.1905536472048306e-14,2981.4156944362476,728.4965907656166,2738.378945447328,530.2816460570464
1,512,18,1,3,1.0494078037324718e-14,2981.4156944362476,1129.3205642426146,2738.378945447328,1177.3969186432184
1,512,18,1,4,7.288799968046695e-15,2981.4156944362476,1359.0133666965748,2738.378945447328,2288.8194874724772
1,512,18,1,5,6.833932131672937e-15,2981.4156944362476,349.93659585796996,2738.378945447328,2578.100989623463
1,512,18,2,0,7.34197241489727e-15,2981.4156944362476,600.9101788259983,2738.378945447328,665.7618485135814
1,512,18,2,1,6.880739213081789e-15,2981.4156944362476,600.9105398659552,2738.378945447328,2644.8673741343605
1,512,18,2,2,7.338583762217688e-15,2981.4156944362476,944.9958727773811,2738.378945447328,530.2816460570464
