ID,N,fre,cond_coarse
1,512,8.184961e-15,8.729202e+01
1,512,8.999280e-15,9.010446e+01
1,512,8.650182e-15,2.345158e+01
1,512,6.853720e-15,9.976759e+01
1,512,8.606902e-15,5.461386e+01
1,512,8.049175e-15,6.673945e+01
1,512,8.216839e-15,8.819454e+01
1,512,8.100272e-15,3.801553e+01
1,512,7.255838e-15,1.109163e+02
1,512,8.211155e-15,9.249965e+01
1,512,8.959821e-15,1.794515e+02
1,512,8.308915e-15,1.634724e+02
1,512,8.091500e-15,5.979422e+01
1,512,7.661190e-15,1.890120e+01
1,512,7.411797e-15,5.667465e+01
1,512,8.676824e-15,6.934718e+01
1,512,1.915601e-14,5.484808e+01
1,512,7.303574e-15,6.327393e+01
1,512,7.640662e-15,2.675542e+02
1,512,9.194751e-15,9.506050e+00
1,512,7.683679e-15,5.306903e+01
1,512,7.830463e-15,1.386231e+01
1,512,8.738016e-15,2.317869e+01
1,512,8.466311e-15,6.585706e+01
1,512,8.097279e-15,1.230296e+02
1,512,7.956698e-15,4.073446e+01
1,512,7.995487e-15,1.969914e+01
1,512,8.332513e-15,4.375374e+01
1,512,7.202731e-15,1.449686e+02
1,512,9.132867e-15,9.016844e+01
1,512,7.566764e-15,9.765199e+01
1,512,1.191758e-14,6.934718e+01
1,512,7.633377e-15,2.540643e+02
1,512,7.750583e-15,1.402577e+01
1,512,8.352743e-15,4.242367e+01
1,512,7.974517e-15,2.262356e+02
1,512,7.647192e-15,1.626269e+02
1,512,7.822435e-15,5.062198e+01
1,512,7.831271e-15,9.859620e+01
1,512,7.012198e-15,4.872289e+01
1,512,6.926307e-15,1.313414e+02
1,512,8.271096e-15,4.837086e+01
1,512,7.885022e-15,4.405007e+01
1,512,7.829591e-15,1.826986e+01
1,512,9.650031e-15,1.643265e+02
1,512,7.911093e-15,3.891648e+01
1,512,2.465589e-14,5.575284e+01
1,512,8.243419e-15,5.689352e+01
1,512,7.676773e-15,1.664951e+02
1,512,7.461035e-15,2.438134e+01
1,512,8.009954e-15,1.730141e+02
1,512,7.669278e-15,4.927944e+01
1,512,7.485322e-15,9.016844e+01
1,512,8.201738e-15,1.196303e+02
1,512,8.475866e-15,1.683795e+02
1,512,7.563636e-15,1.805421e+02
1,512,7.650306e-15,5.816222e+01
1,512,9.737798e-15,4.321150e+01
1,512,8.022332e-15,5.196158e+01
1,512,7.277281e-15,6.320459e+01
1,512,7.334092e-15,2.091620e+02
1,512,8.497337e-15,1.204049e+02
1,512,5.367365e-14,2.602909e+01
1,512,9.237016e-15,1.338952e+02
1,512,7.852427e-15,3.520180e+01
1,512,8.197265e-15,3.133978e+01
1,512,7.537267e-15,3.287675e+01
1,512,8.372587e-15,9.792836e+00
1,512,9.121876e-15,6.577369e+01
1,512,8.378102e-15,1.826823e+02
1,512,8.218131e-15,8.330456e+01
1,512,7.951261e-15,7.174092e+01
1,512,7.221793e-15,2.207535e+01
1,512,7.783835e-15,3.506524e+01
1,512,8.645821e-15,4.475888e+01
1,512,7.598341e-15,3.039092e+01
1,512,5.371435e-14,4.010282e+01
1,512,7.385037e-15,1.425537e+02
1,512,7.539083e-15,6.743028e+01
1,512,7.474270e-15,1.265751e+02
1,512,8.208960e-15,1.692189e+02
1,512,8.065254e-15,1.334526e+02
1,512,8.104295e-15,4.402677e+01
1,512,8.983483e-15,2.425780e+02
1,512,7.801103e-15,5.732818e+01
1,512,8.078093e-15,2.047306e+02
1,512,8.529348e-15,3.219849e+01
1,512,8.853559e-15,1.066745e+02
1,512,7.247914e-15,9.062807e+01
1,512,8.123517e-15,1.743465e+02
1,512,7.622578e-15,1.230296e+02
1,512,8.786462e-15,8.780014e+01
1,512,8.579503e-15,2.014914e+02
1,512,8.977879e-15,1.210402e+01
1,512,7.258306e-15,4.035345e+01
1,512,7.668778e-15,1.165807e+02
1,512,7.760249e-15,1.583363e+02
1,512,8.195661e-15,2.026526e+01
1,512,8.545486e-15,1.597094e+02
1,512,7.772898e-15,2.005425e+01
1,512,7.453017e-15,2.036965e+01
1,512,7.945217e-15,4.212164e+01
1,512,7.332460e-15,1.172934e+02
1,512,8.888487e-15,7.445899e+01
1,512,8.359755e-15,7.904446e+01
1,512,8.470202e-15,4.203904e+01
1,512,8.322573e-15,6.502061e+01
1,512,8.917670e-15,1.280208e+02
1,512,8.027764e-15,1.267830e+02
1,512,7.731874e-15,1.952178e+02
1,512,7.579865e-15,7.009506e+01
1,512,7.902974e-15,3.927916e+01
1,512,8.035740e-15,4.290270e+01
1,512,7.925699e-15,4.253120e+01
1,512,8.512183e-15,1.114712e+02
1,512,8.268916e-15,7.157838e+01
1,512,7.452967e-15,1.164440e+02
1,512,7.799998e-15,1.088448e+01
1,512,8.275283e-15,2.139000e+02
1,512,9.307774e-15,9.227427e+01
1,512,8.387752e-15,1.390828e+02
1,512,8.301734e-15,2.870263e+01
1,512,9.216716e-15,1.723855e+02
1,512,7.919040e-15,4.693060e+01
1,512,7.501692e-15,3.713110e+01
1,512,8.406618e-15,4.628692e+01
1,512,8.291332e-15,8.221997e+01
1,512,8.389101e-15,5.026872e+01
1,512,8.423997e-15,2.085695e+02
1,512,8.913382e-15,3.058183e+01
1,512,8.357846e-15,1.070726e+02
1,512,7.453136e-15,1.386459e+02
1,512,7.322140e-15,4.030908e+01
1,512,7.487725e-15,1.903974e+01
1,512,7.766304e-15,6.810544e+01
1,512,8.285870e-15,4.628692e+01
1,512,7.966401e-15,1.231494e+02
1,512,8.225736e-15,6.236781e+01
1,512,7.472317e-15,1.230296e+02
1,512,7.763624e-15,8.950226e+01
1,512,7.676419e-15,2.129657e+01
1,512,7.100551e-15,3.369711e+01
1,512,7.910449e-15,6.814646e+01
1,512,8.828128e-15,5.598370e+01
1,512,8.482618e-15,2.440880e+02
1,512,7.516306e-15,4.804682e+01
1,512,1.097503e-14,2.188634e+02
1,512,8.251249e-15,1.705073e+02
1,512,7.591786e-15,8.006937e+01
1,512,7.608231e-15,1.096598e+02
1,512,8.305828e-15,1.204687e+02
1,512,8.060448e-15,9.441699e+01
1,512,7.960149e-15,9.790423e+01
1,512,8.268972e-15,6.339907e+01
1,512,7.552412e-15,3.014370e+01
1,512,8.363673e-15,2.324690e+01
1,512,8.652688e-15,1.504415e+02
1,512,6.940873e-15,7.652539e+01
1,512,7.623883e-15,9.203126e+01
1,512,7.800385e-15,1.430353e+02
