ID,M,k_max_up,k_max_down,fre,cond,cond_coarse,cond_partmax,cond_partmax_dyn
15,16,0,0,2.397006113229174,4.113201520930284e+17,3.5778072374647136e+16,inf,inf
15,16,0,1,inf,inf,inf,inf,inf
15,16,0,2,inf,inf,inf,inf,inf
15,16,0,3,inf,inf,inf,inf,inf
15,16,0,4,inf,inf,inf,inf,inf
15,16,0,5,inf,inf,inf,inf,inf
15,16,1,0,41592.11700790088,4.113201520930284e+17,3.5445132162144804e+22,inf,1.986328046382831e+18
15,16,1,1,inf,inf,inf,inf,inf
15,16,1,2,inf,inf,inf,inf,inf
15,16,1,3,inf,inf,inf,inf,inf
15,16,1,4,inf,inf,inf,inf,inf
15,16,1,5,inf,inf,inf,inf,inf
15,16,2,0,78734.8158482895,4.113201520930284e+17,8.77679927869666e+22,inf,1.986328046382831e+18
15,16,2,1,inf,inf,inf,inf,inf
15,16,2,2,inf,inf,inf,inf,inf
15,16,2,3,inf,inf,inf,inf,inf
15,16,2,4,12511789372.454853,4.113201520930284e+17,inf,inf,inf
15,16,2,5,12511789372.454845,4.113201520930284e+17,inf,inf,inf
15,16,3,0,78734.8158482895,4.113201520930284e+17,8.77679927869666e+22,inf,1.986328046382831e+18
15,16,3,1,inf,inf,inf,inf,inf
15,16,3,2,inf,inf,inf,inf,inf
15,16,3,3,inf,inf,inf,inf,inf
15,16,3,4,12511789372.545082,4.113201520930284e+17,inf,inf,inf
15,16,3,5,12511789372.545082,4.113201520930284e+17,inf,inf,inf
15,16,4,0,21537.96663924418,4.113201520930284e+17,3.0025120581414256e+22,inf,1.986328046382831e+18
15,16,4,1,7685281209.666966,4.113201520930284e+17,inf,inf,inf
15,16,4,2,inf,inf,inf,inf,inf
15,16,4,3,inf,inf,inf,inf,inf
15,16,4,4,inf,inf,inf,inf,inf
15,16,4,5,inf,inf,inf,inf,inf
15,16,5,0,21537.96663924418,4.113201520930284e+17,3.0025120581414256e+22,inf,1.986328046382831e+18
15,16,5,1,7685281209.666967,4.113201520930284e+17,inf,inf,inf
15,16,5,2,inf,inf,inf,inf,inf
15,16,5,3,inf,inf,inf,inf,inf
15,16,5,4,inf,inf,inf,inf,inf
15,16,5,5,inf,inf,inf,inf,inf
15,17,0,0,inf,inf,inf,inf,inf
15,17,0,1,inf,inf,inf,inf,inf
15,17,0,2,inf,inf,inf,inf,inf
15,17,0,3,inf,inf,inf,inf,inf
15,17,0,4,inf,inf,inf,inf,inf
15,17,0,5,inf,inf,inf,inf,inf
15,17,1,0,inf,inf,inf,inf,inf
15,17,1,1,inf,inf,inf,inf,inf
15,17,1,2,inf,inf,inf,inf,inf
15,17,1,3,inf,inf,inf,inf,inf
15,17,1,4,inf,inf,inf,inf,inf
15,17,1,5,inf,inf,inf,inf,inf
15,17,2,0,inf,inf,inf,inf,inf
15,17,2,1,inf,inf,inf,inf,inf
15,17,2,2,inf,inf,inf,inf,inf
15,17,2,3,inf,inf,inf,inf,inf
15,17,2,4,inf,inf,inf,inf,inf
15,17,2,5,inf,inf,inf,inf,inf
15,17,3,0,inf,inf,inf,inf,inf
15,17,3,1,inf,inf,inf,inf,inf
15,17,3,2,inf,inf,inf,inf,inf
15,17,3,3,inf,inf,inf,inf,inf
15,17,3,4,inf,inf,inf,inf,inf
15,17,3,5,inf,inf,inf,inf,inf
15,17,4,0,inf,inf,inf,inf,inf
15,17,4,1,inf,inf,inf,inf,inf
15,17,4,2,inf,inf,inf,inf,inf
15,17,4,3,inf,inf,inf,inf,inf
15,17,4,4,inf,inf,inf,inf,inf
15,17,4,5,inf,inf,inf,inf,inf
15,17,5,0,inf,inf,inf,inf,inf
15,17,5,1,inf,inf,inf,inf,inf
15,17,5,2,inf,inf,inf,inf,inf
15,17,5,3,inf,inf,inf,inf,inf
15,17,5,4,inf,inf,inf,inf,inf
15,17,5,5,inf,inf,inf,inf,inf
15,18,0,0,6.284616904349217,4.113201520930284e+17,4.945678534257826e+16,inf,inf
15,18,0,1,127722334620.62769,4.113201520930284e+17,1.9392551083515553e+20,inf,inf
15,18,0,2,2640813863211.695,4.113201520930284e+17,2.576289961493301e+17,inf,inf
15,18,0,3,2640813863211.695,4.113201520930284e+17,2.576289961493301e+17,inf,inf
15,18,0,4,50662083901089.195,4.113201520930284e+17,9.418808349642612e+17,inf,inf
15,18,0,5,50662083901089.195,4.113201520930284e+17,9.418808349642612e+17,inf,inf
15,18,1,0,18177.574486570375,4.113201520930284e+17,1.5567869899464245e+22,inf,1.5369443962423917e+17
15,18,1,1,inf,inf,inf,inf,inf
15,18,1,2,inf,inf,inf,inf,inf
15,18,1,3,inf,inf,inf,inf,inf
15,18,1,4,185900.16766390813,4.113201520930284e+17,inf,inf,inf
15,18,1,5,inf,inf,inf,inf,inf
15,18,2,0,18177.574486576115,4.113201520930284e+17,1.6918999040560448e+24,inf,2.5108132338274643e+17
15,18,2,1,inf,inf,inf,inf,inf
15,18,2,2,inf,inf,inf,inf,inf
15,18,2,3,inf,inf,inf,inf,inf
15,18,2,4,inf,inf,inf,inf,inf
15,18,2,5,inf,inf,inf,inf,inf
15,18,3,0,18177.574486576115,4.113201520930284e+17,1.6918999040560448e+24,inf,2.5108132338274643e+17
15,18,3,1,inf,inf,inf,inf,inf
15,18,3,2,inf,inf,inf,inf,inf
15,18,3,3,inf,inf,inf,inf,inf
15,18,3,4,inf,inf,inf,inf,inf
15,18,3,5,inf,inf,inf,inf,inf
15,18,4,0,14824.059260383925,4.113201520930284e+17,2.479589244723564e+22,inf,1.5369443962423917e+17
15,18,4,1,inf,inf,inf,inf,inf
15,18,4,2,inf,inf,inf,inf,inf
15,18,4,3,inf,inf,inf,inf,inf
15,18,4,4,inf,inf,inf,inf,inf
15,18,4,5,inf,inf,inf,inf,inf
15,18,5,0,14824.059260383925,4.113201520930284e+17,2.479589244723564e+22,inf,1.5369443962423917e+17
15,18,5,1,inf,inf,inf,inf,inf
15,18,5,2,inf,inf,inf,inf,inf
15,18,5,3,inf,inf,inf,inf,inf
15,18,5,4,inf,inf,inf,inf,inf
15,18,5,5,inf,inf,inf,inf,inf
15,19,0,0,inf,inf,inf,inf,inf
15,19,0,1,inf,inf,inf,inf,inf
15,19,0,2,inf,inf,inf,inf,inf
15,19,0,3,inf,inf,inf,inf,inf
15,19,0,4,inf,inf,inf,inf,inf
15,19,0,5,inf,inf,inf,inf,inf
15,19,1,0,45652.57917294831,4.113201520930284e+17,1.0189265410723751e+34,inf,3.1658108575596144e+20
15,19,1,1,inf,inf,inf,inf,inf
15,19,1,2,inf,inf,inf,inf,inf
15,19,1,3,inf,inf,inf,inf,inf
15,19,1,4,inf,inf,inf,inf,inf
15,19,1,5,inf,inf,inf,inf,inf
15,19,2,0,45652.57917294831,4.113201520930284e+17,5.626256401264625e+34,inf,3.1658108575596144e+20
15,19,2,1,inf,inf,inf,inf,inf
15,19,2,2,inf,inf,inf,inf,inf
15,19,2,3,inf,inf,inf,inf,inf
15,19,2,4,inf,inf,inf,inf,inf
15,19,2,5,inf,inf,inf,inf,inf
15,19,3,0,inf,inf,inf,inf,inf
15,19,3,1,inf,inf,inf,inf,inf
15,19,3,2,inf,inf,inf,inf,inf
15,19,3,3,inf,inf,inf,inf,inf
15,19,3,4,inf,inf,inf,inf,inf
15,19,3,5,inf,inf,inf,inf,inf
15,19,4,0,inf,inf,inf,inf,inf
15,19,4,1,inf,inf,inf,inf,inf
15,19,4,2,inf,inf,inf,inf,inf
15,19,4,3,inf,inf,inf,inf,inf
15,19,4,4,inf,inf,inf,inf,inf
15,19,4,5,inf,inf,inf,inf,inf
15,19,5,0,126914.77576181342,4.113201520930284e+17,inf,inf,5.4737807538104526e+20
15,19,5,1,inf,inf,inf,inf,inf
15,19,5,2,inf,inf,inf,inf,inf
15,19,5,3,inf,inf,inf,inf,inf
15,19,5,4,inf,inf,inf,inf,inf
15,19,5,5,inf,inf,inf,inf,inf
15,20,0,0,6.420143958626337,4.113201520930284e+17,3.5755323088650195e+17,inf,inf
15,20,0,1,1035270898926.9359,4.113201520930284e+17,6.470710341176763e+17,inf,inf
15,20,0,2,8420400596272.486,4.113201520930284e+17,3.381018803580945e+17,inf,inf
15,20,0,3,8420400596272.486,4.113201520930284e+17,3.381018803580945e+17,inf,inf
15,20,0,4,4035899026828.924,4.113201520930284e+17,1.4179625349508822e+23,inf,inf
15,20,0,5,4035899026828.924,4.113201520930284e+17,1.4179625349508822e+23,inf,inf
15,20,1,0,120493.92283203301,4.113201520930284e+17,9.988920876774769e+19,inf,2.1228170023451656e+18
15,20,1,1,inf,inf,inf,inf,inf
15,20,1,2,inf,inf,inf,inf,inf
15,20,1,3,inf,inf,inf,inf,inf
15,20,1,4,inf,inf,inf,inf,inf
15,20,1,5,inf,inf,inf,inf,inf
15,20,2,0,168763.81262441646,4.113201520930284e+17,1.875873355555669e+19,inf,1.920346798940109e+19
15,20,2,1,9531506.972938728,4.113201520930284e+17,inf,inf,inf
15,20,2,2,inf,inf,inf,inf,inf
15,20,2,3,inf,inf,inf,inf,inf
15,20,2,4,38314023.54146341,4.113201520930284e+17,2.3862518670944873e+32,inf,inf
15,20,2,5,38314023.54146822,4.113201520930284e+17,2.4389949060788727e+32,inf,inf
15,20,3,0,168763.81262441646,4.113201520930284e+17,1.875873355555669e+19,inf,1.920346798940109e+19
15,20,3,1,9531389.812654842,4.113201520930284e+17,inf,inf,inf
15,20,3,2,inf,inf,inf,inf,inf
15,20,3,3,inf,inf,inf,inf,inf
15,20,3,4,38314021.4347816,4.113201520930284e+17,inf,inf,inf
15,20,3,5,38314021.4347864,4.113201520930284e+17,inf,inf,inf
15,20,4,0,188965.56103013968,4.113201520930284e+17,3.114902637158902e+20,inf,2.1228170023451656e+18
15,20,4,1,inf,inf,inf,inf,inf
