ID,M,k_max_up,k_max_down,fre,cond,cond_coarse,cond_partmax,cond_partmax_dyn
6,16,0,0,9.450680125573397e-17,1.0399436627776908,1.0248247921553864,1.039943662777691,1.039943662777691
6,16,0,1,9.643681328096993e-17,1.0399436627776908,1.0262000792445518,1.039943662777691,1.0399436627776903
6,16,0,2,9.804640512771771e-17,1.0399436627776908,1.0278633574856586,1.039943662777691,1.0399436627776903
6,16,0,3,9.366444961034077e-17,1.0399436627776908,1.0291221257228298,1.039943662777691,1.0399436627776903
6,16,0,4,9.41819636694026e-17,1.0399436627776908,1.0251870504436118,1.039943662777691,1.0399436627776903
6,16,0,5,9.422171710256185e-17,1.0399436627776908,1.0275721631224681,1.039943662777691,1.0399436627776908
6,16,1,0,9.694662332194555e-17,1.0399436627776908,1.0276737794122912,1.039943662777691,1.0399436627773089
6,16,1,1,9.704747645454101e-17,1.0399436627776908,1.0248247921553864,1.039943662777691,1.0399436627776903
6,16,1,2,9.997688537799993e-17,1.0399436627776908,1.0278633574856586,1.039943662777691,1.0399436627776903
6,16,1,3,9.855409267630038e-17,1.0399436627776908,1.0278633574856586,1.039943662777691,1.0399436627776903
6,16,1,4,9.250928565471606e-17,1.0399436627776908,1.0291221257228302,1.039943662777691,1.0399436627776903
6,16,1,5,9.609146071787662e-17,1.0399436627776908,1.0251870504436118,1.039943662777691,1.0399436627776903
6,16,2,0,9.650019184543543e-17,1.0399436627776908,1.0290083228233018,1.039943662777691,1.0399436627740017
6,16,2,1,9.729915193804838e-17,1.0399436627776908,1.0276737794122917,1.039943662777691,1.0399436627773089
6,16,2,2,9.894029397811584e-17,1.0399436627776908,1.0248247921553861,1.039943662777691,1.0399436627776903
6,16,2,3,1.0051588522317054e-16,1.0399436627776908,1.0278633574856586,1.039943662777691,1.0399436627776903
6,16,2,4,9.904220357334715e-17,1.0399436627776908,1.0278633574856586,1.039943662777691,1.0399436627776903
6,16,2,5,9.448739102370033e-17,1.0399436627776908,1.0291221257228302,1.039943662777691,1.0399436627776903
6,16,3,0,9.603417912139282e-17,1.0399436627776908,1.0263277081417803,1.039943662777691,1.0399436622950067
6,16,3,1,9.522460615755877e-17,1.0399436627776908,1.0290083228233016,1.039943662777691,1.0399436627740017
6,16,3,2,9.608509778240072e-17,1.0399436627776908,1.0276737794122912,1.039943662777691,1.0399436627773089
6,16,3,3,9.547148102427411e-17,1.0399436627776908,1.0248247921553864,1.039943662777691,1.0399436627776903
6,16,3,4,9.864633007869257e-17,1.0399436627776908,1.026200079244552,1.039943662777691,1.0399436627776903
6,16,3,5,9.65453236898509e-17,1.0399436627776908,1.0278633574856588,1.039943662777691,1.0399436627776903
6,16,4,0,1.0032714569798309e-16,1.0399436627776908,1.0253105681483152,1.039943662777691,1.0399423148634241
6,16,4,1,9.577917977228156e-17,1.0399436627776908,1.0263277081417805,1.039943662777691,1.0399436622950067
6,16,4,2,9.644949232563174e-17,1.0399436627776908,1.0290083228233016,1.039943662777691,1.0399436627740017
6,16,4,3,9.628850316205198e-17,1.0399436627776908,1.0276737794122912,1.039943662777691,1.0399436627773089
6,16,4,4,9.643998319840956e-17,1.0399436627776908,1.0248247921553861,1.039943662777691,1.0399436627776903
6,16,4,5,9.511217847695482e-17,1.0399436627776908,1.0262000792445518,1.039943662777691,1.0399436627776903
6,16,5,0,9.464498393527007e-17,1.0399436627776908,1.021822392214758,1.039943662777691,1.0397654048541987
6,16,5,1,1.0008308489567851e-16,1.0399436627776908,1.0253105681483152,1.039943662777691,1.0399423148634241
6,16,5,2,1.0148218442776979e-16,1.0399436627776908,1.0263277081417803,1.039943662777691,1.0399436622950067
6,16,5,3,9.94948963828328e-17,1.0399436627776908,1.0290083228233018,1.039943662777691,1.0399436627740017
6,16,5,4,9.674460164883729e-17,1.0399436627776908,1.0276737794122912,1.039943662777691,1.0399436627773089
6,16,5,5,9.561626272913626e-17,1.0399436627776908,1.0248247921553861,1.039943662777691,1.0399436627776903
6,17,0,0,0.006757046170033785,1.0399436627776908,1.0235685196845772,1.0399436627776903,1.0399436627776903
6,17,0,1,9.520855318855487e-17,1.0399436627776908,1.0263728854139897,1.0399436627776903,1.0399436627776903
6,17,0,2,9.292390394884351e-17,1.0399436627776908,1.0262000792445523,1.0399436627776903,1.0399436627776903
6,17,0,3,9.355668230874646e-17,1.0399436627776908,1.0201038165745395,1.0399436627776903,1.0399436627776903
6,17,0,4,9.030787100103907e-17,1.0399436627776908,1.0280279539348096,1.0399436627776903,1.0399436627776908
6,17,0,5,9.34487907274961e-17,1.0399436627776908,1.0223080911356293,1.0399436627776903,1.0399436627776906
