ID,M,k_max_up,k_max_down,fre,cond,cond_coarse,cond_partmax,cond_partmax_dyn
14,16,0,0,2.520496873932355e-06,9225476518406.7,155236169912.5037,989803.9819150207,989803.9819150207
14,16,0,1,2.520496873932355e-06,9225476518406.7,155236169912.5037,989803.9819150207,989803.9819150207
14,16,0,2,2.882841837140627e-05,9225476518406.7,87272210387.95117,989803.9819150207,1039726.1505368493
14,16,0,3,2.882841837140627e-05,9225476518406.7,87272210387.95117,989803.9819150207,1039726.1505368493
14,16,0,4,1.4164643153265024e-06,9225476518406.7,336069403006.5721,989803.9819150207,1040376.7263122747
14,16,0,5,1.4164643153265024e-06,9225476518406.7,336069403006.5721,989803.9819150207,1040376.7263122747
14,16,1,0,2.520496873932355e-06,9225476518406.7,155236169912.5037,989803.9819150207,989803.9819150207
14,16,1,1,1.468228688039844,9225476518406.7,1.9919583719394996e+16,989803.9819150207,44416722522.763565
14,16,1,2,1.612112725411629,9225476518406.7,4702376870494147.0,989803.9819150207,44416722522.763565
14,16,1,3,1.6121127311937649,9225476518406.7,4935305681903637.0,989803.9819150207,44416722522.763565
14,16,1,4,0.7346088130745045,9225476518406.7,3.4960914000560188e+16,989803.9819150207,44416722522.763565
14,16,1,5,0.19684011399628412,9225476518406.7,3.7415385425253256e+16,989803.9819150207,44416722522.763565
14,16,2,0,2.3682320917220262e-05,9225476518406.7,360058867102.6158,989803.9819150207,2266216.021469561
14,16,2,1,2.47486021545027,9225476518406.7,2.91889109625322e+16,989803.9819150207,91519971404.70393
14,16,2,2,2.6807335212762875,9225476518406.7,7899698391681611.0,989803.9819150207,91519971404.70393
14,16,2,3,2.7055392375928333,9225476518406.7,6605978397412645.0,989803.9819150207,91519971404.70393
14,16,2,4,1.8964771101949747,9225476518406.7,3.0605271392660012e+16,989803.9819150207,91519971404.70393
14,16,2,5,1.8964771119382449,9225476518406.7,3.672313054878182e+16,989803.9819150207,91519971404.70393
14,16,3,0,2.3682320917220262e-05,9225476518406.7,360058867102.6158,989803.9819150207,2266216.021469561
14,16,3,1,2.474860214751696,9225476518406.7,2.9861452745695376e+16,989803.9819150207,91519971404.70393
14,16,3,2,2.680733520817454,9225476518406.7,7616550540888362.0,989803.9819150207,91519971404.70393
14,16,3,3,1.6310399742978314,9225476518406.7,5927487862327457.0,989803.9819150207,91519971404.70393
14,16,3,4,1.8964771101028044,9225476518406.7,3.5384076893384664e+16,989803.9819150207,91519971404.70393
14,16,3,5,1.8964771124981017,9225476518406.7,4.882469113332823e+16,989803.9819150207,91519971404.70393
14,16,4,0,3.226112300593746e-05,9225476518406.7,1188234791495.422,989803.9819150207,1925810.8890864
14,16,4,1,1.855504455134575,9225476518406.7,3.3535328560854412e+16,989803.9819150207,80588597429.36778
14,16,4,2,2.3572012696244387,9225476518406.7,8.85379415130299e+16,989803.9819150207,80588597429.36778
14,16,4,3,1.7394988007725367,9225476518406.7,1.382027392632955e+16,989803.9819150207,80588597429.36778
14,16,4,4,2.730492154563747,9225476518406.7,4.678917316291992e+16,989803.9819150207,80588597429.36778
14,16,4,5,2.7304921494579015,9225476518406.7,5.914182619680193e+17,989803.9819150207,80588597429.36778
14,16,5,0,3.226112300593746e-05,9225476518406.7,1188234791495.422,989803.9819150207,1925810.8890864
14,16,5,1,1.8555046793744192,9225476518406.7,3.409440670049951e+16,989803.9819150207,80588597429.36778
14,16,5,2,1.6576111240009872,9225476518406.7,6633128947751879.0,989803.9819150207,80588597429.36778
14,16,5,3,1.739498827330441,9225476518406.7,1.017100389850361e+16,989803.9819150207,80588597429.36778
14,16,5,4,2.7304921728557217,9225476518406.7,5.8253313878929624e+16,989803.9819150207,80588597429.36778
14,16,5,5,2.730492168432086,9225476518406.7,4.851931324820629e+16,989803.9819150207,80588597429.36778
14,17,0,0,1946.2968486719733,9225476518406.7,8.811153968507639e+18,38360750354.85982,38360750354.85982
14,17,0,1,0.15637412495170264,9225476518406.7,3.0223804187946756e+16,38360750354.85982,19613273319.837196
14,17,0,2,0.15112514918205575,9225476518406.7,3.1313851080076624e+16,38360750354.85982,19613273319.837196
14,17,0,3,0.017214021938448548,9225476518406.7,6166050669148457.0,38360750354.85982,95586898288.60568
14,17,0,4,0.02058202203924306,9225476518406.7,6245422885366703.0,38360750354.85982,95586898288.60568
14,17,0,5,0.038909878346673865,9225476518406.7,3876809170111691.5,38360750354.85982,7650592732.828139
14,17,1,0,0.1449538582872732,9225476518406.7,2.1252744198147444e+16,38360750354.85982,51438294028.53735
14,17,1,1,1945.6746626797035,9225476518406.7,7.729310895281885e+18,38360750354.85982,51438294028.53735
14,17,1,2,116.19333603916083,9225476518406.7,1.3473131094031199e+18,38360750354.85982,29335622668.341156
14,17,1,3,18.737191900602195,9225476518406.7,1.3400349312541276e+18,38360750354.85982,27094864952.361828
14,17,1,4,87.7058101845119,9225476518406.7,6.057663229191769e+18,38360750354.85982,8138653774.984508
14,17,1,5,212.95323402079046,9225476518406.7,3.593961593513403e+18,38360750354.85982,5151316495.10822
14,17,2,0,0.13183576924146984,9225476518406.7,2.2415371777537548e+16,38360750354.85982,51438294028.53735
14,17,2,1,1945.8195941358738,9225476518406.7,4.5571446081123267e+18,38360750354.85982,51438294028.53735
14,17,2,2,116.15700744109529,9225476518406.7,1.836339722600351e+18,38360750354.85982,29335622668.341156
14,17,2,3,18.748976982120396,9225476518406.7,1.056693597590742e+18,38360750354.85982,27094864952.361828
14,17,2,4,87.70028541940279,9225476518406.7,6.618463709007414e+18,38360750354.85982,8138653774.984508
14,17,2,5,212.94253687005346,9225476518406.7,1.589255563830767e+18,38360750354.85982,5151316495.10822
14,17,3,0,2.221790531503788,9225476518406.7,8.631770973649546e+16,38360750354.85982,523947451577.96313
14,17,3,1,1945.7880713598968,9225476518406.7,1.8224517087274852e+19,38360750354.85982,523947451577.96313
14,17,3,2,116.09346295879654,9225476518406.7,5.397010588106713e+18,38360750354.85982,5766929881608.713
14,17,3,3,18.733328022459943,9225476518406.7,1.7081132719353247e+18,38360750354.85982,5766929881608.713
14,17,3,4,87.71177779403352,9225476518406.7,2.927070613456294e+17,38360750354.85982,323436589412.93774
14,17,3,5,212.9705571884702,9225476518406.7,4.983978085190201e+17,38360750354.85982,323436589412.93774
14,17,4,0,2.169302977665596,9225476518406.7,1.7470459618305728e+17,38360750354.85982,523947451577.96313
14,17,4,1,1945.8619000769838,9225476518406.7,1.7765078502657075e+18,38360750354.85982,523947451577.96313
14,17,4,2,115.90691493240585,9225476518406.7,3.3498921558910947e+19,38360750354.85982,5766929881608.713
14,17,4,3,18.734548244850924,9225476518406.7,1.4826176129274055e+19,38360750354.85982,5766929881608.713
14,17,4,4,87.71177779408917,9225476518406.7,4.312134096065164e+18,38360750354.85982,323436589412.93774
