ID,M,k_max_up,k_max_down,fre,cond,cond_coarse,cond_partmax,cond_partmax_dyn
1,16,0,0,2.2745169933490032e-14,31871.50596785399,2573.125241385041,27429.3837343968,27429.3837343968
1,16,0,1,2.91752860452576e-14,31871.50596785399,63846.16483700336,27429.3837343968,10333.204216240047
1,16,0,2,4.819595717426772e-14,31871.50596785399,63850.44855985547,27429.3837343968,10333.204216240047
1,16,0,3,7.61433792230014e-12,31871.50596785399,360554.6767882726,27429.3837343968,82045.80908110047
1,16,0,4,7.614337869666524e-12,31871.50596785399,404263.319066339,27429.3837343968,82045.80908110047
1,16,0,5,1.1148135158660445e-14,31871.50596785399,4400.128606420515,27429.3837343968,23962.531598016154
1,16,1,0,8.235970452484133e-14,31871.50596785399,446.8446665775656,27429.3837343968,8271.292527492784
1,16,1,1,1.8746637673982246e-14,31871.50596785399,2583.742263671441,27429.3837343968,27429.3837343968
1,16,1,2,3.613835760693737e-14,31871.50596785399,12951.492372598737,27429.3837343968,7753.92664187698
1,16,1,3,5.0270875593214354e-14,31871.50596785399,12951.384538196418,27429.3837343968,7753.92664187698
1,16,1,4,1.1085347534841062e-14,31871.50596785399,456.975512878474,27429.3837343968,28628.584966814593
1,16,1,5,2.8985436701980706e-14,31871.50596785399,363.6449663117395,27429.3837343968,61685.366262694566
1,16,2,0,6.597759451257174e-14,31871.50596785399,552.0148933913216,27429.3837343968,2768.4966885274366
1,16,2,1,7.877533745028552e-14,31871.50596785399,429.7301829086724,27429.3837343968,84480.17697226956
1,16,2,2,1.0613623700499096e-11,31871.50596785399,360708.29615950375,27429.3837343968,82045.80908110047
1,16,2,3,9.008423999740158e-14,31871.50596785399,63872.113190673364,27429.3837343968,10333.204216240047
1,16,2,4,9.010103701892276e-14,31871.50596785399,47156.82128617436,27429.3837343968,10333.204216240047
1,16,2,5,1.0252438713447284e-14,31871.50596785399,287.1495747986334,27429.3837343968,133201.74285594258
1,16,3,0,5.119723279079971e-14,31871.50596785399,581.492489960714,27429.3837343968,2769.7382603404208
1,16,3,1,7.874486289720221e-14,31871.50596785399,581.492470969266,27429.3837343968,84480.17697226956
1,16,3,2,8.746354185072161e-14,31871.50596785399,475.8449863148767,27429.3837343968,84480.17697226956
1,16,3,3,7.770104195188928e-12,31871.50596785399,360708.45044404047,27429.3837343968,82045.80908110047
1,16,3,4,4.07062600628765e-15,31871.50596785399,63860.613905478414,27429.3837343968,10333.204216240047
1,16,3,5,5.942254863342544e-14,31871.50596785399,146.56657203213774,27429.3837343968,139243.67612231654
