ID,M,k_max_up,k_max_down,fre,cond,cond_coarse,cond_partmax,cond_partmax_dyn
12,16,0,0,0.004194781153239453,6416862439263279.0,2802549213840522.5,9023795.148623979,9023795.148623979
12,16,0,1,0.00409452520430096,6416862439263279.0,3203339098382998.5,9023795.148623979,2819586.360012971
12,16,0,2,0.00509158708573218,6416862439263279.0,2682962426488648.5,9023795.148623979,1093185.2344997711
12,16,0,3,0.0063108428419727065,6416862439263279.0,2902972821579107.5,9023795.148623979,1019671.5272508777
12,16,0,4,0.0005955790231825426,6416862439263279.0,2855262852624506.0,9023795.148623979,1003854.743533724
12,16,0,5,0.0033457360115667005,6416862439263279.0,2481182830149271.5,9023795.148623979,975202.6614242021
12,16,1,0,0.0026489033473153503,6416862439263279.0,2936784991877624.5,9023795.148623979,4795461.129666785
12,16,1,1,0.00419478115324253,6416862439263279.0,2802549213839496.5,9023795.148623979,9023795.148623979
12,16,1,2,0.0041105584946967595,6416862439263279.0,3203339089042659.5,9023795.148623979,741324.8710535056
12,16,1,3,0.00509069802633155,6416862439263279.0,2683004686223859.5,9023795.148623979,4795461.129666785
12,16,1,4,0.006308777435017534,6416862439263279.0,2903017847066616.5,9023795.148623979,4795461.129666785
12,16,1,5,0.0005965937654557996,6416862439263279.0,2855306665209796.5,9023795.148623979,4795461.129666785
12,16,2,0,0.008654905507035418,6416862439263279.0,3491118331088950.0,9023795.148623979,15714978.97165383
12,16,2,1,0.0026489033473181363,6416862439263279.0,2936784991876564.0,9023795.148623979,4795461.129666785
12,16,2,2,0.004194781153242579,6416862439263279.0,2802549213838427.0,9023795.148623979,9023795.148623979
12,16,2,3,0.004130368276622159,6416862439263279.0,3203339088997798.0,9023795.148623979,1786402.3732320878
12,16,2,4,0.005090457784359694,6416862439263279.0,2683049980565682.0,9023795.148623979,15714978.97165383
12,16,2,5,0.006308805219217916,6416862439263279.0,2903066107374630.0,9023795.148623979,15714978.97165383
12,16,3,0,0.006383564783924093,6416862439263279.0,3579523032008367.5,9023795.148623979,15768486.810359579
12,16,3,1,0.00865994728661293,6416862439263279.0,3508566692059402.0,9023795.148623979,24803896.92165721
12,16,3,2,0.002648903421326121,6416862439263279.0,2936784999684980.0,9023795.148623979,13012817.709212605
12,16,3,3,0.004194781153242317,6416862439263279.0,2802549213013866.5,9023795.148623979,9023795.148623979
12,16,3,4,0.004094521203120877,6416862439263279.0,3203339097728937.5,9023795.148623979,1786402.3732320878
12,16,3,5,0.005091623549389315,6416862439263279.0,2683049666367058.0,9023795.148623979,15768486.810359579
12,16,4,0,0.01046025175291569,6416862439263279.0,3321636986094096.0,9023795.148623979,15885729.292509424
12,16,4,1,0.006380716312152139,6416862439263279.0,3585710671305973.5,9023795.148623979,24888351.56318897
12,16,4,2,0.008659947901999991,6416862439263279.0,3491118333830178.5,9023795.148623979,15714978.97165383
12,16,4,3,0.0026489034213271704,6416862439263279.0,2936784999548390.0,9023795.148623979,13012817.709212605
12,16,4,4,0.004194713074971713,6416862439263279.0,2802549213004845.0,9023795.148623979,9023795.148623979
12,16,4,5,0.0040945100039916525,6416862439263279.0,3203339097775989.5,9023795.148623979,1786402.3732320878
12,16,5,0,0.0027984088913506158,6416862439263279.0,3624159218627439.0,9023795.148623979,16289514.569845323
12,16,5,1,0.010260375859238339,6416862439263279.0,3541098893910054.0,9023795.148623979,25073402.427543435
12,16,5,2,0.00473771725618316,6416862439263279.0,3579534632397653.5,9023795.148623979,15768486.810359579
12,16,5,3,0.00833815746804143,6416862439263279.0,3491113712909347.0,9023795.148623979,15714978.97165383
12,16,5,4,0.0027188288030996705,6416862439263279.0,2918828441451598.0,9023795.148623979,13012817.709212605
12,16,5,5,0.004194757795187668,6416862439263279.0,2802549213039070.5,9023795.148623979,9023795.148623979
12,17,0,0,0.008824500461463453,6416862439263279.0,2836466976217799.0,19861758.04896808,19861758.04896808
12,17,0,1,0.003550860695933176,6416862439263279.0,2639218209090563.5,19861758.04896808,20842889.5329376
12,17,0,2,0.003215214040581598,6416862439263279.0,2766982329014179.0,19861758.04896808,20398290.410438154
12,17,0,3,0.0031901465226088247,6416862439263279.0,2854515093670270.5,19861758.04896808,20394599.84202508
12,17,0,4,0.0056658113484054935,6416862439263279.0,2793006864533936.5,19861758.04896808,22180381.776855752
12,17,0,5,0.0070266997619297805,6416862439263279.0,2963418584504571.5,19861758.04896808,21721595.054234426
12,17,1,0,0.0033667576759226756,6416862439263279.0,2930075861581287.0,19861758.04896808,18439691.84925543
12,17,1,1,0.005675749769889479,6416862439263279.0,2836466976217799.5,19861758.04896808,19861758.04896808
12,17,1,2,0.002654910110561996,6416862439263279.0,2576173667655946.0,19861758.04896808,20842889.5329376
12,17,1,3,0.003954550768523309,6416862439263279.0,2764468144994853.5,19861758.04896808,20398290.410438154
12,17,1,4,0.0033651960682465464,6416862439263279.0,2851921120772939.5,19861758.04896808,20394599.84202508
